k,Iris-setosa,Iris-versicolor,Iris-virginica
5,1,0.37,0.55
6,1,0.57,0.45
7,1,0.4,0.7
8,1,0.53,0.45
9,1,0.37,0.65
10,1,0.47,0.55
11,1,0.4,0.55
12,1,0.47,0.55
13,1,0.43,0.7
14,1,0.47,0.65
15,1,0.43,0.7
16,1,0.47,0.7
17,1,0.4,0.75
18,1,0.53,0.65
19,1,0.3,0.7
20,1,0.37,0.65
21,1,0.3,0.7
22,1,0.37,0.6
23,1,0.3,0.65
24,1,0.3,0.6
