k, accuracy, error
5,0.85,0.15
6,0.844444444444,0.155555555556
7,0.827777777778,0.172222222222
8,0.811111111111,0.188888888889
9,0.844444444444,0.155555555556
10,0.822222222222,0.177777777778
11,0.855555555556,0.144444444444
12,0.855555555556,0.144444444444
13,0.888888888889,0.111111111111
14,0.872222222222,0.127777777778
15,0.877777777778,0.122222222222
16,0.866666666667,0.133333333333
17,0.861111111111,0.138888888889
18,0.866666666667,0.133333333333
19,0.861111111111,0.138888888889
20,0.855555555556,0.144444444444
21,0.861111111111,0.138888888889
22,0.872222222222,0.127777777778
23,0.872222222222,0.127777777778
24,0.872222222222,0.127777777778
