k, accuracy, error
5,0.622222222222,0.377777777778
6,0.655555555556,0.344444444444
7,0.677777777778,0.322222222222
8,0.683333333333,0.316666666667
9,0.666666666667,0.333333333333
10,0.677777777778,0.322222222222
11,0.688888888889,0.311111111111
12,0.722222222222,0.277777777778
13,0.716666666667,0.283333333333
14,0.661111111111,0.338888888889
15,0.716666666667,0.283333333333
16,0.716666666667,0.283333333333
17,0.683333333333,0.316666666667
18,0.688888888889,0.311111111111
19,0.705555555556,0.294444444444
20,0.711111111111,0.288888888889
21,0.666666666667,0.333333333333
22,0.661111111111,0.338888888889
23,0.683333333333,0.316666666667
24,0.672222222222,0.327777777778
