k,Iris-setosa,Iris-versicolor,Iris-virginica
5,1,0.7,0.85
6,1,0.73,0.8 
7,1,0.63,0.85
8,1,0.63,0.8 
9,1,0.63,0.85
10,1,0.67,0.85
11,1,0.67,1.  
12,1,0.67,0.95
13,1,0.63,1.  
14,1,0.63,1.  
15,1,0.63,1.  
16,1,0.67,0.95
17,1,0.67,0.95
18,1,0.67,0.95
19,1,0.67,1.  
20,1,0.7,0.95
21,1,0.7,0.95
22,1,0.7,0.95
23,1,0.67,0.95
24,1,0.7,0.95
